rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink,st_plx,st_plxerr,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_sp,st_spstr,st_sperr,st_splim,st_spblend
21,55 Cnc,e,Radial Velocity,5,0.7365515,0.0000015,-0.0000015,0,0.04,0.027,-0.027,0,0.02561,0.00073,-0.00073,0,,,,,,,,,90,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc e,1,1,0,0,0,0,8.13928,0.23201,-0.23201,0,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e,79.8,0.84,0,0,-484.8,0.7,0,-233.5,0.7,0,5,K0 IV-V,,0,0
22,55 Cnc,f,Radial Velocity,5,262,0.51,-0.51,0,0.305,0.075,-0.075,0,0.141,0.012,-0.012,0,,,,,,,,,90,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc f,0,1,0,0,0,0,44.812,3.814,-3.814,0,,,,,,,,,2007,3,0,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f,79.8,0.84,0,0,-484.8,0.7,0,-233.5,0.7,0,5,K0 IV-V,,0,0
23,61 Vir,b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.12,0.11,-0.11,0,,,,,,,,,,,,,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b,117.3,0.71,0,0,-1069.9,0.67,0,-1063.78,0.42,0,4.7,G7 V,,0,0
24,61 Vir,c,Radial Velocity,3,38.021,0.034,-0.034,0,0.14,0.06,-0.06,0,,,,,,,,,,,,,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir c,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c,117.3,0.71,0,0,-1069.9,0.67,0,-1063.78,0.42,0,4.7,G7 V,,0,0
25,61 Vir,d,Radial Velocity,3,123.01,0.55,-0.55,0,0.35,0.09,-0.09,0,,,,,,,,,,,,,,,,,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,61 Vir d,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/61_vir_d/,http://exoplanets.org/detail/61_Vir_d,117.3,0.71,0,0,-1069.9,0.67,0,-1063.78,0.42,0,4.7,G7 V,,0,0
26,70 Vir,b,Radial Velocity,1,116.6884,0.0044,-0.0044,0,0.4007,0.0035,-0.0035,0,7.49,0.61,-0.61,0,,,,,,,,,,,,,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,5545,,0,0,1.11,,0,0,,,,,HD 117176,HIP 65721,70 Vir b,0,1,0,0,0,0,2380.45,193.87,-193.87,0,,,,,,,,,1996,3,0,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b,55.22,0.73,0,0,-234,0.6,0,-575.7,0.6,0,4.4,G4 V,,0,0
27,75 Cet,b,Radial Velocity,1,691.9,3.6,-3.6,0,0.117,0.048,-0.048,0,3,,,0,,,,,,,,,,,,,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,6.87,-8.27,0,4846,18,0,0,2.49,0.02,0,0,10.5,1,0,0,HD 15779,HIP 11791,75 Cet b,0,1,0,0,0,0,953.5,,,0,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b,12.27,1.13,0,0,-24.7,0.7,0,-31.4,0.8,0,4.3,G3 III,,0,0
28,81 Cet,b,Radial Velocity,1,952.7,8.8,-8.8,0,0.206,0.029,-0.029,0,,,,,,,,,,,,,,,,,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,4785,25,0,0,2.4,0.1,0,0,11,2,0,0,HD 16400,HIP 12247,81 Cet b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b,10.29,0.97,0,0,40.9,1,0,-44,1,0,4.5,G5 III,,0,0
29,91 Aqr,b,Radial Velocity,1,181.4,0.1,-0.1,0,0.027,0.026,-0.026,0,,,,,,,,,,,,,,,,,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4665,18,0,0,1.4,0.1,0,0,11,0.1,0,0,HD 219449,HIP 114855,91 Aqr b,0,1,0,0,0,0,,,,,,,,,,,,,2013,3,0,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b,21.97,0.89,0,0,369.6,0.6,0,-16.8,0.6,0,5,K0 III,,0,0
30,AB Pic,b,Imaging,1,,,,,,,,,13.5,0.5,-0.5,0,,,,,,,,,,,,,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,1.64,-1.76,0,,,,,,,,,,,,,HD 44627,HIP 30034,AB Pic b,0,0,1,0,0,0,4290.5,158.9,-158.9,0,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/ab_pic_b/,,21.97,0.82,0,0,15.9,1.2,0,46.2,1.2,0,5.2,K2 V,,0,0
